127.0.0.1 - - [23/Apr/2023:14:45:55 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [23/Apr/2023:15:27:01 +0530] "POST /Hospital_Management_System/updateServlet HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [23/Apr/2023:15:27:01 +0530] "GET /Hospital_Management_System/doctor/patient.jsp HTTP/1.1" 200 6607
0:0:0:0:0:0:0:1 - - [23/Apr/2023:15:27:07 +0530] "GET /Hospital_Management_System/doctor/comment.jsp?Idd=8 HTTP/1.1" 200 5155
0:0:0:0:0:0:0:1 - - [23/Apr/2023:15:27:10 +0530] "POST /Hospital_Management_System/updateServlet HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [23/Apr/2023:15:27:10 +0530] "GET /Hospital_Management_System/doctor/patient.jsp HTTP/1.1" 200 6603
0:0:0:0:0:0:0:1 - - [23/Apr/2023:15:27:16 +0530] "GET /Hospital_Management_System/doctor/comment.jsp?Idd=8 HTTP/1.1" 200 5155
0:0:0:0:0:0:0:1 - - [23/Apr/2023:15:27:19 +0530] "POST /Hospital_Management_System/updateServlet HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [23/Apr/2023:15:27:19 +0530] "GET /Hospital_Management_System/doctor/patient.jsp HTTP/1.1" 200 6603
0:0:0:0:0:0:0:1 - - [23/Apr/2023:15:27:24 +0530] "GET /Hospital_Management_System/doctor/patient.jsp HTTP/1.1" 200 6502
0:0:0:0:0:0:0:1 - - [23/Apr/2023:15:27:25 +0530] "GET /Hospital_Management_System/doctor/patient.jsp HTTP/1.1" 200 6502
0:0:0:0:0:0:0:1 - - [23/Apr/2023:15:27:25 +0530] "GET /Hospital_Management_System/doctor/patient.jsp HTTP/1.1" 200 6502
0:0:0:0:0:0:0:1 - - [23/Apr/2023:15:27:28 +0530] "GET /Hospital_Management_System/doctor/comment.jsp?Idd=8 HTTP/1.1" 200 5155
0:0:0:0:0:0:0:1 - - [23/Apr/2023:15:27:31 +0530] "POST /Hospital_Management_System/updateServlet HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [23/Apr/2023:15:27:31 +0530] "GET /Hospital_Management_System/doctor/patient.jsp HTTP/1.1" 200 6606
0:0:0:0:0:0:0:1 - - [23/Apr/2023:15:27:33 +0530] "GET /Hospital_Management_System/doctor/patient.jsp HTTP/1.1" 200 6505
0:0:0:0:0:0:0:1 - - [23/Apr/2023:15:27:33 +0530] "GET /Hospital_Management_System/doctor/patient.jsp HTTP/1.1" 200 6505
0:0:0:0:0:0:0:1 - - [23/Apr/2023:15:27:34 +0530] "GET /Hospital_Management_System/doctor/patient.jsp HTTP/1.1" 200 6505
0:0:0:0:0:0:0:1 - - [23/Apr/2023:15:27:34 +0530] "GET /Hospital_Management_System/doctor/patient.jsp HTTP/1.1" 200 6505
0:0:0:0:0:0:0:1 - - [23/Apr/2023:15:27:34 +0530] "GET /Hospital_Management_System/doctor/patient.jsp HTTP/1.1" 200 6505
0:0:0:0:0:0:0:1 - - [23/Apr/2023:15:27:34 +0530] "GET /Hospital_Management_System/doctor/patient.jsp HTTP/1.1" 200 6505
0:0:0:0:0:0:0:1 - - [23/Apr/2023:15:27:34 +0530] "GET /Hospital_Management_System/doctor/patient.jsp HTTP/1.1" 200 6505
0:0:0:0:0:0:0:1 - - [23/Apr/2023:15:29:45 +0530] "GET /Hospital_Management_System/doctor/comment.jsp?Idd=5 HTTP/1.1" 200 5152
0:0:0:0:0:0:0:1 - - [23/Apr/2023:15:37:18 +0530] "GET /Hospital_Management_System/doctor/comment.jsp?Idd=5 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [23/Apr/2023:15:37:18 +0530] "GET /Hospital_Management_System/doctor_login.jsp HTTP/1.1" 200 7226
0:0:0:0:0:0:0:1 - - [23/Apr/2023:15:37:48 +0530] "POST /Hospital_Management_System/doctorLogin HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [23/Apr/2023:15:37:48 +0530] "GET /Hospital_Management_System/doctor/index.jsp HTTP/1.1" 200 4138
0:0:0:0:0:0:0:1 - - [23/Apr/2023:15:37:50 +0530] "GET /Hospital_Management_System/doctor/patient.jsp HTTP/1.1" 200 6505
0:0:0:0:0:0:0:1 - - [23/Apr/2023:15:37:52 +0530] "GET /Hospital_Management_System/doctor/comment.jsp?Idd=5 HTTP/1.1" 200 5152
0:0:0:0:0:0:0:1 - - [23/Apr/2023:15:37:55 +0530] "POST /Hospital_Management_System/updateServlet HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [23/Apr/2023:15:37:55 +0530] "GET /Hospital_Management_System/doctor/patient.jsp HTTP/1.1" 200 6551
0:0:0:0:0:0:0:1 - - [23/Apr/2023:15:37:59 +0530] "GET /Hospital_Management_System/doctor/comment.jsp?Idd=6 HTTP/1.1" 200 5150
0:0:0:0:0:0:0:1 - - [23/Apr/2023:15:38:02 +0530] "POST /Hospital_Management_System/updateServlet HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [23/Apr/2023:15:38:02 +0530] "GET /Hospital_Management_System/doctor/patient.jsp HTTP/1.1" 200 6496
0:0:0:0:0:0:0:1 - - [23/Apr/2023:15:38:05 +0530] "GET /Hospital_Management_System/doctor/comment.jsp?Idd=8 HTTP/1.1" 200 5155
0:0:0:0:0:0:0:1 - - [23/Apr/2023:15:38:09 +0530] "POST /Hospital_Management_System/updateServlet HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [23/Apr/2023:15:38:09 +0530] "GET /Hospital_Management_System/doctor/patient.jsp HTTP/1.1" 200 6441
0:0:0:0:0:0:0:1 - - [23/Apr/2023:15:38:11 +0530] "GET /Hospital_Management_System/doctor/comment.jsp?Idd=3 HTTP/1.1" 200 5160
0:0:0:0:0:0:0:1 - - [23/Apr/2023:15:38:14 +0530] "POST /Hospital_Management_System/updateServlet HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [23/Apr/2023:15:38:14 +0530] "GET /Hospital_Management_System/doctor/patient.jsp HTTP/1.1" 200 6436
0:0:0:0:0:0:0:1 - - [23/Apr/2023:15:38:18 +0530] "GET /Hospital_Management_System/doctor/comment.jsp?Idd=8 HTTP/1.1" 200 5155
0:0:0:0:0:0:0:1 - - [23/Apr/2023:15:38:21 +0530] "POST /Hospital_Management_System/updateServlet HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [23/Apr/2023:15:38:21 +0530] "GET /Hospital_Management_System/doctor/patient.jsp HTTP/1.1" 200 6441
0:0:0:0:0:0:0:1 - - [23/Apr/2023:15:38:27 +0530] "GET /Hospital_Management_System/doctor/index.jsp HTTP/1.1" 200 4138
0:0:0:0:0:0:0:1 - - [23/Apr/2023:15:38:30 +0530] "GET /Hospital_Management_System/doctorLogout HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [23/Apr/2023:15:38:30 +0530] "GET /Hospital_Management_System/doctor_login.jsp HTTP/1.1" 200 7317
